(velocity (m/s),horizontal (m),vertical (m),leading),rate (V/s),stddev (V/s), rate (%/s),stddev (%/s)
(1.0,1.0,0.75,False),-0.010251809335362197,0.01876420723654368,-0.8543174446135164,1.5636839363786397
(1.0,1.0,0.25,False),0.011937265075330054,0.013719342248061414,0.9947720896108377,1.1432785206717844
(0.5,1.0,0.25,False),-0.0067089867388806035,0.010525678622548069,-0.5590822282400503,0.8771398852123389
(1.0,1.0,0.5,False),0.017950896005080662,0.02331763311103873,1.4959080004233885,1.9431360925865606
(0.5,1.0,0.75,False),-0.0033375742408736334,0.0043283371230054225,-0.2781311867394694,0.3606947602504519
(0.75,1.0,0.5,False),0.0041484267244387895,0.007515875586429273,0.3457022270365658,0.6263229655357727
(0.75,1.0,0.75,False),-0.018070711462678735,0.017319150324298385,-1.5058926218898943,1.4432625270248651
(0.75,1.0,0.25,False),0.001656064456516316,0.004531539128086033,0.13800537137635963,0.37762826067383604
(0.5,1.0,0.5,False),0.0024298303428556063,0.013113935957070251,0.20248586190463377,1.0928279964225207
(0.5,0.75,0.25,False),-0.013595238681709945,0.02195231564081758,-1.1329365568091618,1.829359636734798

Total number of unique datasets: 10
