(velocity (m/s), horizontal (m), vertical (m), leading), rate (V/s), rate (%/s)
(1.0, 1.0, 0.25, False), 0.011937265075330055, 1.1937265075330055
(1.0, 1.0, 0.5, False), 0.017950896005080662, 1.795089600508066
(1.0, 1.0, 0.75, False), -0.010251809335362197, -1.0251809335362196
(0.75, 1.0, 0.25, False), 0.001656064456516316, 0.1656064456516316
(0.75, 1.0, 0.5, False), 0.0041484267244387895, 0.414842672443879
(0.75, 1.0, 0.75, False), -0.018070711462678732, -1.8070711462678732
(0.5, 1.0, 0.25, False), -0.0067089867388806035, -0.6708986738880603
(0.5, 1.0, 0.5, False), 0.0024298303428556063, 0.24298303428556056
(0.5, 1.0, 0.75, False), -0.003337574240873633, -0.33375742408736336
(0.5, 0.75, 0.25, False), -0.013595238681709945, -1.3595238681709945

Total number of unique datasets: 10

(Uses all the data in the 350mAh_logs folder.)
